,D786T08,D786T05,D786T07,D786T02,D786T04,D786T03,D786T01,D786T06
ENSMUSG00000099503,5,2,0,0,2,4,1,4
ENSMUSG00000026156,3,0,5,5,5,8,1,4
ENSMUSG00000026155,187,194,409,329,294,332,336,367
ENSMUSG00000026154,9,15,19,14,12,20,9,5
ENSMUSG00000102495,0,0,0,0,0,0,0,0
ENSMUSG00000026153,260,286,548,315,509,524,493,474
ENSMUSG00000102398,3,2,17,7,2,8,15,1
ENSMUSG00000097670,0,0,0,0,0,2,0,5
ENSMUSG00000026147,37,17,9,30,49,15,3,12
ENSMUSG00000026141,27,11,7,19,16,19,8,16
ENSMUSG00000077463,2,0,0,0,0,2,0,0
ENSMUSG00000099997,6,1,0,3,1,11,0,3
ENSMUSG00000100131,8,12,13,8,13,15,34,14
ENSMUSG00000067736,4,1,4,8,5,3,3,3
ENSMUSG00000101939,0,0,1,2,0,3,4,1
ENSMUSG00000101111,6,4,20,15,10,13,25,17
ENSMUSG00000100862,19,28,38,44,25,31,73,30
ENSMUSG00000102070,15,14,13,19,17,18,44,18
ENSMUSG00000101249,7,5,13,17,7,18,24,16
ENSMUSG00000073725,313,245,460,370,360,407,555,456
ENSMUSG00000100808,8,8,0,4,1,1,1,0
ENSMUSG00000100483,2,5,0,9,0,2,0,2
ENSMUSG00000100450,2,2,0,0,0,3,0,3
ENSMUSG00000099392,0,0,0,0,0,0,0,0
ENSMUSG00000033569,26,36,2,26,6,17,6,4
ENSMUSG00000080849,0,0,0,0,0,0,0,0
ENSMUSG00000104257,2,2,0,2,0,7,0,5
ENSMUSG00000096866,0,0,0,0,0,0,0,0
ENSMUSG00000102296,0,0,0,2,0,0,0,1
ENSMUSG00000103209,3,0,0,1,0,1,0,4
ENSMUSG00000104027,4,4,0,0,1,0,1,0
ENSMUSG00000102407,5,0,0,1,1,6,0,0
ENSMUSG00000103214,2,6,0,2,0,1,0,0
ENSMUSG00000104100,2,4,0,4,0,0,0,0
ENSMUSG00000084740,2,2,0,0,0,0,0,0
ENSMUSG00000103889,5,0,0,11,0,0,2,2
ENSMUSG00000101301,1,3,0,1,1,0,0,0
ENSMUSG00000104221,2,3,0,6,7,11,0,0
ENSMUSG00000102250,4,8,0,2,1,2,0,0
ENSMUSG00000102317,15,15,0,11,11,9,4,3
ENSMUSG00000103563,6,9,0,3,0,3,3,0
ENSMUSG00000102465,7,5,0,20,10,14,0,1
ENSMUSG00000102659,9,1,0,8,0,3,1,3
ENSMUSG00000103924,4,2,0,1,1,2,2,0
ENSMUSG00000104132,4,3,0,0,1,2,0,4
ENSMUSG00000102747,4,0,0,1,0,0,0,0
ENSMUSG00000102386,5,4,0,5,3,16,0,0
ENSMUSG00000103004,0,4,0,0,1,2,0,0
ENSMUSG00000104516,2,1,0,0,1,0,0,0
ENSMUSG00000101618,0,0,0,0,0,3,0,0
ENSMUSG00000099458,4,6,0,0,0,0,0,4
ENSMUSG00000088111,0,0,0,2,1,2,3,1
ENSMUSG00000073722,33,17,0,24,7,14,5,11
ENSMUSG00000095256,0,0,0,0,0,0,0,0
ENSMUSG00000100310,0,0,0,0,5,0,0,0
ENSMUSG00000101514,8,5,0,8,0,6,0,3
ENSMUSG00000101033,0,8,0,2,2,4,0,11
ENSMUSG00000101372,2,6,0,0,0,2,0,4
ENSMUSG00000103241,0,1,0,1,0,0,0,0
ENSMUSG00000086240,8,4,0,1,3,10,3,7
ENSMUSG00000048411,4,5,0,5,9,6,1,2
ENSMUSG00000081557,7,4,0,7,10,7,0,7
ENSMUSG00000058590,0,0,0,7,0,0,0,0
ENSMUSG00000101235,5,2,0,3,1,6,4,6
ENSMUSG00000064433,0,0,0,0,0,0,0,0
ENSMUSG00000080625,2,0,0,0,0,0,0,0
ENSMUSG00000080391,1,0,0,0,0,0,0,0
ENSMUSG00000099257,0,0,0,0,0,0,0,0
ENSMUSG00000099492,2,7,4,6,3,3,7,1
ENSMUSG00000101726,9,10,0,1,0,6,2,0
ENSMUSG00000096829,7,1,0,5,1,5,0,1
ENSMUSG00000098883,0,0,0,0,0,0,0,0
ENSMUSG00000053185,1,6,0,0,4,0,0,1
ENSMUSG00000100261,7,1,0,14,2,0,0,0
ENSMUSG00000101180,0,0,0,0,0,2,0,0
ENSMUSG00000048874,747,771,1699,862,1012,1203,1144,1281
ENSMUSG00000103783,37,7,21,14,26,26,33,35
ENSMUSG00000104315,16,35,56,25,45,62,60,50
ENSMUSG00000026064,515,423,889,620,920,960,854,826
ENSMUSG00000086151,0,0,0,0,0,1,0,0
ENSMUSG00000086726,6,1,0,4,0,2,0,1
ENSMUSG00000087346,2,2,0,0,3,0,0,0
ENSMUSG00000100371,4,2,0,1,0,2,2,0
ENSMUSG00000100237,0,0,0,0,0,1,0,0
ENSMUSG00000098529,2,0,0,0,0,1,3,0
ENSMUSG00000086727,4,4,0,1,7,5,0,0
ENSMUSG00000100910,0,7,0,12,3,2,0,2
ENSMUSG00000099796,0,0,0,0,0,1,0,0
ENSMUSG00000050217,1,7,0,5,3,9,1,3
ENSMUSG00000026063,0,1,0,4,0,0,3,3
ENSMUSG00000077664,0,0,0,0,0,4,0,7
ENSMUSG00000100205,0,0,0,0,0,1,0,3
ENSMUSG00000100592,0,1,0,1,0,0,0,0
ENSMUSG00000094215,1,0,0,1,0,0,0,0
ENSMUSG00000101093,0,0,0,0,0,1,0,0
ENSMUSG00000070960,2,1,0,0,0,2,0,0
ENSMUSG00000088620,0,0,0,0,0,4,0,0
ENSMUSG00000082159,1,0,0,1,0,0,0,0
ENSMUSG00000026058,9,10,0,4,6,7,0,4
ENSMUSG00000064688,0,0,0,0,0,0,0,0
ENSMUSG00000103482,1,4,0,0,4,5,0,2
ENSMUSG00000104498,0,0,0,3,0,1,0,1
ENSMUSG00000104313,1,2,0,3,4,0,0,0
ENSMUSG00000102865,1,0,0,3,2,2,0,0
ENSMUSG00000102321,6,0,0,9,1,6,0,0
ENSMUSG00000091318,3,2,0,4,1,8,0,0
ENSMUSG00000089489,0,0,0,0,0,0,0,0
ENSMUSG00000104433,1,0,0,2,0,4,0,1
ENSMUSG00000089395,0,0,0,0,0,0,0,3
ENSMUSG00000102926,7,1,0,2,2,6,0,1
ENSMUSG00000100497,3,2,0,0,5,0,0,0
ENSMUSG00000102917,0,0,0,0,0,0,0,0
ENSMUSG00000100481,4,7,0,15,3,4,0,0
ENSMUSG00000100590,3,3,0,5,1,0,3,1
ENSMUSG00000088750,0,0,0,0,0,0,0,0
ENSMUSG00000104230,0,1,0,1,3,0,0,0
ENSMUSG00000101754,0,4,0,5,2,5,1,5
ENSMUSG00000065223,0,0,0,0,0,0,0,0
ENSMUSG00000100318,3,0,0,6,0,3,2,0
ENSMUSG00000101612,5,3,0,2,0,1,0,1
ENSMUSG00000065260,0,0,0,0,0,0,0,0
ENSMUSG00000026134,47,67,100,107,77,116,49,77
ENSMUSG00000101682,0,0,0,2,0,0,0,0
ENSMUSG00000102714,8,7,19,7,13,4,10,12
ENSMUSG00000102093,0,0,0,6,1,2,4,0
ENSMUSG00000103746,0,0,11,3,4,6,1,11
ENSMUSG00000102198,2,5,0,0,0,1,1,0
ENSMUSG00000004768,295,362,670,491,481,562,475,522
ENSMUSG00000042215,18,23,27,32,24,33,21,38
ENSMUSG00000103072,1,4,0,0,2,1,2,4
ENSMUSG00000042197,462,523,1124,612,728,852,862,927
ENSMUSG00000081402,5,2,0,6,1,4,2,2
ENSMUSG00000042182,21,13,18,16,8,8,14,14
ENSMUSG00000104416,3,2,2,1,7,1,0,6
ENSMUSG00000026131,4114,4148,9809,4905,6403,7223,7218,8158
ENSMUSG00000103596,5,9,8,18,15,15,20,20
ENSMUSG00000099382,2,0,0,0,0,0,0,0
ENSMUSG00000084506,0,0,0,0,0,0,0,0
ENSMUSG00000103364,26,24,54,36,47,64,32,31
ENSMUSG00000105982,0,0,2,0,0,0,0,0
ENSMUSG00000096992,6,4,2,22,2,8,2,17
ENSMUSG00000103001,1,3,0,0,0,3,0,0
ENSMUSG00000104397,0,0,0,0,0,1,0,0
ENSMUSG00000102839,0,0,0,0,0,0,0,0
ENSMUSG00000101206,6,8,0,1,4,3,0,1
ENSMUSG00000101462,16,14,42,20,19,20,25,51
ENSMUSG00000102336,154,98,388,170,299,245,269,320
ENSMUSG00000092852,0,0,0,0,0,0,0,0
ENSMUSG00000042111,10,17,54,44,27,29,46,53
ENSMUSG00000101711,0,2,0,0,0,0,0,1
ENSMUSG00000026127,102,101,174,126,113,134,138,167
ENSMUSG00000026126,8,5,5,13,10,4,3,3
ENSMUSG00000100280,17,15,0,11,2,6,0,2
ENSMUSG00000101223,9,0,0,3,2,3,1,1
ENSMUSG00000026125,2,10,0,5,1,9,4,9
ENSMUSG00000101116,0,4,0,3,1,0,0,0
ENSMUSG00000026124,3,8,0,2,4,10,0,8
ENSMUSG00000101803,3,0,0,2,3,2,0,0
ENSMUSG00000037529,6,2,0,5,0,0,1,3
ENSMUSG00000045815,0,0,0,0,0,0,0,0
ENSMUSG00000045174,1,13,0,1,8,2,0,0
ENSMUSG00000100524,4,0,0,3,6,0,0,0
ENSMUSG00000102499,0,0,0,0,0,0,0,0
ENSMUSG00000103521,5,6,0,1,2,2,0,6
ENSMUSG00000104098,0,2,0,0,0,3,0,0
ENSMUSG00000037509,29,21,8,15,28,42,9,23
ENSMUSG00000102537,0,0,0,0,0,0,0,0
ENSMUSG00000102612,0,0,0,0,0,3,0,0
ENSMUSG00000104002,23,17,54,32,28,30,46,52
ENSMUSG00000037503,372,418,864,608,665,659,882,816
ENSMUSG00000104358,12,13,0,2,2,2,0,9
ENSMUSG00000026123,30,41,38,44,62,53,44,31
ENSMUSG00000103716,2,2,0,6,3,2,0,0
ENSMUSG00000103548,0,6,0,4,1,0,0,0
ENSMUSG00000103760,2,2,0,0,0,0,0,0
ENSMUSG00000103997,5,0,0,0,0,0,0,3
ENSMUSG00000077231,3,0,0,3,0,0,0,0
