,gene_id,gene_name
335,ENSMUSG00000073725,Lmbrd1
336,ENSMUSG00000100808,Gm28594
337,ENSMUSG00000100483,Gm28237
338,ENSMUSG00000100450,Gm9443
339,ENSMUSG00000099392,Gm29414
340,ENSMUSG00000033569,Adgrb3
341,ENSMUSG00000080849,Gm15702
342,ENSMUSG00000104257,Gm20172
343,ENSMUSG00000096866,Gm22260
344,ENSMUSG00000102296,Gm37543
345,ENSMUSG00000103209,Gm37331
346,ENSMUSG00000104027,Gm37211
347,ENSMUSG00000102407,Gm37862
348,ENSMUSG00000103214,Gm38286
349,ENSMUSG00000104100,Gm37880
350,ENSMUSG00000084740,Gm25294
351,ENSMUSG00000103889,Gm37011
352,ENSMUSG00000101301,Gm29214
353,ENSMUSG00000104221,Gm37051
354,ENSMUSG00000102250,Gm38260
355,ENSMUSG00000102317,Gm37628
356,ENSMUSG00000103563,8030445P17Rik
357,ENSMUSG00000102465,Gm38198
358,ENSMUSG00000102659,Gm37077
359,ENSMUSG00000103924,Gm37895
360,ENSMUSG00000104132,Gm36952
361,ENSMUSG00000102747,Gm37602
362,ENSMUSG00000102386,2900022M07Rik
363,ENSMUSG00000103004,2900002M20Rik
364,ENSMUSG00000104516,Gm9884
365,ENSMUSG00000101618,Gm18443
366,ENSMUSG00000099458,Gm19123
367,ENSMUSG00000088111,Gm24064
368,ENSMUSG00000073722,4931408C20Rik
369,ENSMUSG00000095256,n-R5s209
370,ENSMUSG00000100310,Gm19641
371,ENSMUSG00000101514,Gm5524
372,ENSMUSG00000101033,Gm18776
373,ENSMUSG00000101372,Gm19028
374,ENSMUSG00000103241,Gm38089
375,ENSMUSG00000086240,Gm7846
376,ENSMUSG00000048411,Gm597
377,ENSMUSG00000081557,Gm5697
378,ENSMUSG00000058590,Gm6462
379,ENSMUSG00000101235,Gm18033
380,ENSMUSG00000064433,Gm25586
381,ENSMUSG00000080625,Gm22679
382,ENSMUSG00000080391,Gm23785
383,ENSMUSG00000099257,Mir6342
384,ENSMUSG00000099492,Gm5525
385,ENSMUSG00000101726,Gm7858
386,ENSMUSG00000096829,Gm23771
387,ENSMUSG00000098883,Gm27430
388,ENSMUSG00000053185,Gm9898
389,ENSMUSG00000100261,Gm6473
390,ENSMUSG00000101180,Gm2914
391,ENSMUSG00000048874,Phf3
392,ENSMUSG00000103783,Gm37522
393,ENSMUSG00000104315,Gm37906
394,ENSMUSG00000026064,Ptp4a1
