Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,Bag3,,Psmc5,,,,,,,,,,,Abi3,Lgals12,,,,,,,,,,,,,,,Gspt2,,Lsm4,,Rab3gap1,
,Leprot,,Slc28a2,,,,,,,,,,,P2ry2,OTTMUSG00000008364,,,,,,,,,,,,,,,Gstm2,,Ltv1,,Rab7b,
,Sart3,,Stim1,,,,,,,,,,,Mdfic,Mall,,,,,,,,,,,,,,,Gstt1,,Lyar,,Rac2,
,Suv420h2,,Pknox1,,,,,,,,,,,Ccser1,08-Sep,,,,,,,,,,,,,,,Gucy1a1,,Lyn,,Rala,
,Rcl1,,Trem1,,,,,,,,,,,Tlr4,Gp2,,,,,,,,,,,,,,,Gulo,,Macrod1,,Ralbp1,
,Gfm1,,Eaf1,,,,,,,,,,,RP23-451E8.3,Dmrt1,,,,,,,,,,,,,,,Gvin1,,Mad1l1,,Ramp1,
,Papola,,Nkg7,,,,,,,,,,,Nkx2-3,C330027C09Rik,,,,,,,,,,,,,,,H2-Aa,,Mad2l2,,Rasa4,
,Ncoa6,,Txlna,,,,,,,,,,,Diras2,Stil,,,,,,,,,,,,,,,H2-K1,,Map11,,Rasal3,
,Nfe2l1,,Anxa3,,,,,,,,,,,Esr1,A430060F13Rik,,,,,,,,,,,,,,,H2-Q4,,Mapre1,,Rassf2,
,Rab10,,Fbxo22,,,,,,,,,,,Rhoq,Ano2,,,,,,,,,,,,,,,H2-Q7,,Mar-06,,Rassf5,
,Wdr77,,Zc3h14,,,,,,,,,,,Nsg2,Hk1,,,,,,,,,,,,,,,H2-T22,,Mastl,,Rbbp8,
,Usp39,,Cdc14a,,,,,,,,,,,Pglyrp2,9430008C03Rik,,,,,,,,,,,,,,,Habp4,,Mat2a,,Rbm47,
,Ints2,,E2f3,,,,,,,,,,,Mras,Slc11a1,,,,,,,,,,,,,,,Hacd4,,Mcm10,,Rcsd1,
,Tmem41a,,Wdr67,,,,,,,,,,,Lysmd2,Syt10,,,,,,,,,,,,,,,Hbegf,,Mcm3,,Rel,
,Whsc1l1,,Igsf8,,,,,,,,,,,Obsl1,Insm2,,,,,,,,,,,,,,,Hdac11,,Mcm4,,Repin1,
,Glg1,,Ebp,,,,,,,,,,,Atp9a,2810008M24Rik,,,,,,,,,,,,,,,Hdac9,,Mcm5,,Rftn2,
