Yang_Eryth_TF,Yang_Lineage_Eryth,Yang_Granulocyte_TF,Yang_Granulocyte_Lineage,Yang_Lineage_Lymphoid,Yang_Lymphoid_TFs,Yang_Megakaryocyte_Lineage,Yang_Megakaryocyte_TFs,Yang S Phase,Yang G1S Phase,Yang G2M ,Yang Refined G2M,Yang Quiescent,WilsonMolO,Tusi_EPO_MPP,MPP2_Pietras,MPP3_Pietras,MPP4_Pietras,Yang_IFNg_response,Chen_early pre-DC marker,Chen_pre-cDC2 marker,Chen_pre-cDC1 marker,Yang_active_HSCs,Yang_Quiescent_HSCs,Yang_HSCs,Yang_MPP1,Yang_MPP2,Yang_MPP3,Yang_MPP4,Niche,Pia_HSC,Pia_MPP1,Pia_MPP2,Pia_MPP3,Pia_MPP4,Pia_MPP5
,,,,,,,,,,,,,,,Polh,,,,,,,,,,,,,,,Sorbs1,,,,,
,,,,,,,,,,,,,,,Lzts1,,,,,,,,,,,,,,,Sord,,,,,
,,,,,,,,,,,,,,,Nup107,,,,,,,,,,,,,,,Sox18,,,,,
,,,,,,,,,,,,,,,Mobkl1a,,,,,,,,,,,,,,,Spata1,,,,,
,,,,,,,,,,,,,,,A230074B11Rik,,,,,,,,,,,,,,,Spata13,,,,,
,,,,,,,,,,,,,,,Casc4,,,,,,,,,,,,,,,Specc1l,,,,,
,,,,,,,,,,,,,,,Grik1,,,,,,,,,,,,,,,Speg,,,,,
,,,,,,,,,,,,,,,Crtac1,,,,,,,,,,,,,,,Spo11,,,,,
,,,,,,,,,,,,,,,Mapkap1,,,,,,,,,,,,,,,Sptbn2,,,,,
,,,,,,,,,,,,,,,ENSMUSG00000019985,,,,,,,,,,,,,,,Src,,,,,
,,,,,,,,,,,,,,,Cct6b,,,,,,,,,,,,,,,Srek1,,,,,
,,,,,,,,,,,,,,,Gpr87,,,,,,,,,,,,,,,Srgap3,,,,,
,,,,,,,,,,,,,,,Sfrp4,,,,,,,,,,,,,,,Srsf5,,,,,
,,,,,,,,,,,,,,,Eif1ay,,,,,,,,,,,,,,,Ssbp3,,,,,
,,,,,,,,,,,,,,,Hist1h2bg,,,,,,,,,,,,,,,St3gal1,,,,,
,,,,,,,,,,,,,,,2810433K01Rik,,,,,,,,,,,,,,,St3gal2,,,,,
,,,,,,,,,,,,,,,Gjb5,,,,,,,,,,,,,,,St3gal6,,,,,
,,,,,,,,,,,,,,,Mafa,,,,,,,,,,,,,,,Stard13,,,,,
,,,,,,,,,,,,,,,Qtrt1,,,,,,,,,,,,,,,Stard4,,,,,
,,,,,,,,,,,,,,,EG383436,,,,,,,,,,,,,,,Stat1,,,,,
,,,,,,,,,,,,,,,ENSMUSG00000026654,,,,,,,,,,,,,,,Stat4,,,,,
,,,,,,,,,,,,,,,Stat5b,,,,,,,,,,,,,,,Stxbp1,,,,,
,,,,,,,,,,,,,,,C4bp,,,,,,,,,,,,,,,Stxbp2,,,,,
,,,,,,,,,,,,,,,EG665661,,,,,,,,,,,,,,,Stxbp5,,,,,
,,,,,,,,,,,,,,,Rnf186,,,,,,,,,,,,,,,Sult1a1,,,,,
,,,,,,,,,,,,,,,6430537H07Rik,,,,,,,,,,,,,,,Sun1,,,,,
,,,,,,,,,,,,,,,Speg,,,,,,,,,,,,,,,Syde1,,,,,
,,,,,,,,,,,,,,,Qrfpr,,,,,,,,,,,,,,,Syne1,,,,,
,,,,,,,,,,,,,,,Fgf10,,,,,,,,,,,,,,,Syne2,,,,,
,,,,,,,,,,,,,,,Uqcrc1,,,,,,,,,,,,,,,Syngr1,,,,,
,,,,,,,,,,,,,,,BC034902,,,,,,,,,,,,,,,Syt11,,,,,
,,,,,,,,,,,,,,,6720463M24Rik,,,,,,,,,,,,,,,Sytl5,,,,,
,,,,,,,,,,,,,,,Pnet-ps,,,,,,,,,,,,,,,Taf9b,,,,,
,,,,,,,,,,,,,,,Cramp1l,,,,,,,,,,,,,,,Tal1,,,,,
,,,,,,,,,,,,,,,AU040829,,,,,,,,,,,,,,,Taz,,,,,
,,,,,,,,,,,,,,,ENSMUSG00000046620,,,,,,,,,,,,,,,Tbc1d12,,,,,
,,,,,,,,,,,,,,,EG381852,,,,,,,,,,,,,,,Tbc1d16,,,,,
,,,,,,,,,,,,,,,Olfr1087,,,,,,,,,,,,,,,Tbkbp1,,,,,
,,,,,,,,,,,,,,,Tsfm,,,,,,,,,,,,,,,Tbxas1,,,,,
,,,,,,,,,,,,,,,Olfr976,,,,,,,,,,,,,,,Tcaf2,,,,,
,,,,,,,,,,,,,,,Rbpjl,,,,,,,,,,,,,,,Tceal3,,,,,
,,,,,,,,,,,,,,,Dars2,,,,,,,,,,,,,,,Tceal5,,,,,
,,,,,,,,,,,,,,,Banf2,,,,,,,,,,,,,,,Tceal8,,,,,
,,,,,,,,,,,,,,,Slc6a18,,,,,,,,,,,,,,,Tcf15,,,,,
,,,,,,,,,,,,,,,Rpe,,,,,,,,,,,,,,,Tcf25,,,,,
,,,,,,,,,,,,,,,ENSMUSG00000075556,,,,,,,,,,,,,,,Tcf7l1,,,,,
,,,,,,,,,,,,,,,C230094A16Rik,,,,,,,,,,,,,,,Tdrd7,,,,,
,,,,,,,,,,,,,,,Slc8a2,,,,,,,,,,,,,,,Tead2,,,,,
,,,,,,,,,,,,,,,3300002A11Rik,,,,,,,,,,,,,,,Tecpr1,,,,,
,,,,,,,,,,,,,,,Kcnv2,,,,,,,,,,,,,,,Tgfb3,,,,,
,,,,,,,,,,,,,,,Tceb2,,,,,,,,,,,,,,,Tgfbr3,,,,,
,,,,,,,,,,,,,,,Mmd2,,,,,,,,,,,,,,,Tgm2,,,,,
,,,,,,,,,,,,,,,Cntn1,,,,,,,,,,,,,,,Tgtp1,,,,,
,,,,,,,,,,,,,,,Foxb1,,,,,,,,,,,,,,,Tgtp2,,,,,
,,,,,,,,,,,,,,,Hs1bp3,,,,,,,,,,,,,,,Thrb,,,,,
,,,,,,,,,,,,,,,Rbpms2,,,,,,,,,,,,,,,Thsd4,,,,,
,,,,,,,,,,,,,,,Olfr150,,,,,,,,,,,,,,,Tie1,,,,,
,,,,,,,,,,,,,,,Cnksr1,,,,,,,,,,,,,,,Timp2,,,,,
,,,,,,,,,,,,,,,Atp5g1,,,,,,,,,,,,,,,Timp3,,,,,
,,,,,,,,,,,,,,,Mbd3l1,,,,,,,,,,,,,,,Tinagl1,,,,,
,,,,,,,,,,,,,,,Sephs2,,,,,,,,,,,,,,,Tk2,,,,,
,,,,,,,,,,,,,,,V1rd2,,,,,,,,,,,,,,,Tle2,,,,,
,,,,,,,,,,,,,,,C1qa,,,,,,,,,,,,,,,Tle6,,,,,
,,,,,,,,,,,,,,,Galk1,,,,,,,,,,,,,,,Tlr3,,,,,
,,,,,,,,,,,,,,,EG620161,,,,,,,,,,,,,,,Tmcc1,,,,,
,,,,,,,,,,,,,,,Lpcat3,,,,,,,,,,,,,,,Tmem100,,,,,
,,,,,,,,,,,,,,,Ube2t,,,,,,,,,,,,,,,Tmem158,,,,,
,,,,,,,,,,,,,,,Sh3bp4,,,,,,,,,,,,,,,Tmem163,,,,,
,,,,,,,,,,,,,,,Igf2bp2,,,,,,,,,,,,,,,Tmem246,,,,,
,,,,,,,,,,,,,,,Eif4ebp3,,,,,,,,,,,,,,,Tmem38b,,,,,
,,,,,,,,,,,,,,,EG667360,,,,,,,,,,,,,,,Tmem42,,,,,
,,,,,,,,,,,,,,,E230025N22Rik,,,,,,,,,,,,,,,Tmem45a,,,,,
,,,,,,,,,,,,,,,Magea9,,,,,,,,,,,,,,,Tmem56,,,,,
,,,,,,,,,,,,,,,Rbx1,,,,,,,,,,,,,,,Tmem63a,,,,,
,,,,,,,,,,,,,,,Telo2,,,,,,,,,,,,,,,Tmem63b,,,,,
,,,,,,,,,,,,,,,Dennd2c,,,,,,,,,,,,,,,Tmem8,,,,,
,,,,,,,,,,,,,,,Ccdc27,,,,,,,,,,,,,,,Tmem87b,,,,,
,,,,,,,,,,,,,,,Fam132a,,,,,,,,,,,,,,,Tmie,,,,,
,,,,,,,,,,,,,,,A530021J07Rik,,,,,,,,,,,,,,,Tmod3,,,,,
,,,,,,,,,,,,,,,Ppp1r14d,,,,,,,,,,,,,,,Tmtc2,,,,,
,,,,,,,,,,,,,,,OTTMUSG00000011757,,,,,,,,,,,,,,,Tmx4,,,,,
,,,,,,,,,,,,,,,Ngf,,,,,,,,,,,,,,,Tnfrsf25,,,,,
,,,,,,,,,,,,,,,Cdc37,,,,,,,,,,,,,,,Tnip2,,,,,
,,,,,,,,,,,,,,,Olfr1141,,,,,,,,,,,,,,,Tnip3,,,,,
,,,,,,,,,,,,,,,Gpld1,,,,,,,,,,,,,,,Tnrc6a,,,,,
,,,,,,,,,,,,,,,Dnalc4,,,,,,,,,,,,,,,Tns1,,,,,
,,,,,,,,,,,,,,,Olfr1441,,,,,,,,,,,,,,,Tns2,,,,,
,,,,,,,,,,,,,,,Ttc39a,,,,,,,,,,,,,,,Tom1l2,,,,,
,,,,,,,,,,,,,,,Fam108a,,,,,,,,,,,,,,,Tor4a,,,,,
,,,,,,,,,,,,,,,Slc16a14,,,,,,,,,,,,,,,Tox,,,,,
,,,,,,,,,,,,,,,Slamf1,,,,,,,,,,,,,,,Traf1,,,,,
,,,,,,,,,,,,,,,Nrg1,,,,,,,,,,,,,,,Trib3,,,,,
,,,,,,,,,,,,,,,Scnn1g,,,,,,,,,,,,,,,Trim12a,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim30b,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim30d,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim34a,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim46,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim47,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trim68,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tro,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trpc6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsc22d1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsc22d3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tspan12,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tspan14,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tspan3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tspyl4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ttc14,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ttc28,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ttc39b,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ttc8,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Txnip,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uba7,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubqln2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ubr4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ugt8a,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulk1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ulk3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unc13b,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unc13d,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unc45b,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unc79,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upf2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Upp1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usb1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Use1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usp27x,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usp32,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Usp54,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Utrn,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uvssa,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vat1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vdr,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vegfa,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vipr2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vmac,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vnn1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vps37d,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vwf,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wbp1l,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wdr13,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wfdc2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wls,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wtip,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wwc2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wwtr1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xk,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xkrx,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ypel2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ypel3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zadh2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb20,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zbtb4,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zc2hc1a,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zc3h6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zc3h7b,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zcchc14,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zcchc3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zdbf2,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfand3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfand5,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfand6,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfhx3,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp281,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp317,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp318,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp37,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp467,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp516,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp612,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp780b,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp827,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp867,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp870,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp90,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp950,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zfp979,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zrsr1,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zswim6,,,,,
